City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
337,Labuhan,ID,75.99,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
338,Uromi,NG,70.0,broken clouds,6.7,6.3333,Royal Motel
339,Itarema,BR,80.98,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
340,Imamoglu,TR,81.63,clear sky,37.2651,35.6572,İSAK TATAR
342,Leninskoye,KZ,78.73,clear sky,41.7589,69.3864,İSAK TATAR
348,Mandera,KE,82.06,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
349,Nurota,UZ,82.49,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
350,Luanda,AO,73.4,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
354,Shelburne,CA,80.24,scattered clouds,44.0787,-80.2041,The Retreat at the Farm
356,Salto,UY,77.16,clear sky,-31.3833,-57.9667,Gran Hotel Uruguay
357,Chhapar,IN,83.1,heavy intensity rain,27.8167,74.4,Tal Chhapar Forest Rest House
359,Kupang,ID,70.93,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
360,Gat,IL,81.28,clear sky,31.61,34.7642,OlusHome
362,San Cristobal,VE,87.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
368,Alugan,PH,81.46,overcast clouds,12.2188,125.4808,JM Lodge
370,Mapimi,MX,83.17,overcast clouds,25.8167,-103.85,Propiedad Lldm
371,Faanui,PF,78.06,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
372,Namatanai,PG,78.39,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
373,Praia,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
374,Kaduqli,SD,81.03,broken clouds,11.0167,29.7167,فندق الله جابو
375,Passos,BR,76.66,clear sky,-20.7189,-46.6097,AL
383,Uvinza,TZ,74.35,broken clouds,-5.1036,30.3911,Crown Lodge
385,Hambantota,LK,79.63,overcast clouds,6.1241,81.1185,Bungalow 63
387,Matara,LK,76.41,light rain,5.9485,80.5353,Amaloh Boutique Resort
388,Bella Union,UY,73.76,clear sky,-30.2752,-57.6007,Hotel Oriente
390,Fare,PF,77.81,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
395,El Alto,PE,74.86,few clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
397,Satipo,PE,87.96,clear sky,-11.2522,-74.6386,Bungalows El Palmiche
398,Zhanakorgan,KZ,84.18,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
399,Brainerd,US,88.09,haze,46.358,-94.2008,"Holiday Inn Express & Suites Brainerd-Baxter, an IHG Hotel"
406,Kontagora,NG,72.48,overcast clouds,10.3999,5.4695,Queens Guest Inn
412,Angoram,PG,74.35,overcast clouds,-4.0625,144.0661,Queens Guest Inn
413,Vincennes,FR,80.92,clear sky,48.85,2.4333,Aparthotel Adagio Paris Vincennes
414,Santa Cruz,BO,87.85,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
416,Vanimo,PG,77.07,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
418,Alto Araguaia,BR,87.35,clear sky,-17.3147,-53.2153,Araguaia Palace Hotel
419,Uwajima,JP,73.51,overcast clouds,33.2238,132.56,Uwajima Oriental Hotel
422,Kutum,SD,74.8,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
423,Bariri,BR,84.45,clear sky,-22.0744,-48.7403,San Francisco Hotel
424,Kalemie,CD,72.95,clear sky,-5.9475,29.1947,Mahobilali
426,Cayenne,GF,85.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
427,Sorong,ID,77.77,light rain,-0.8833,131.25,waigo splash hotel
428,Lambarene,GA,76.8,broken clouds,-0.7001,10.2406,Le Refuge
430,Strezhevoy,RU,73.38,broken clouds,60.7333,77.5889,Sibiryachka
435,Nakamura,JP,74.59,overcast clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
436,Casablanca,MA,75.54,clear sky,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
438,Saryozek,KZ,73.15,clear sky,44.3583,77.9753,Gostinitsa
439,Pacific Grove,US,80.8,few clouds,36.6177,-121.9166,Lovers Point Inn
440,Guatire,VE,77.5,overcast clouds,10.4762,-66.5427,Parque Residencial Canaima I
441,Bireun,ID,78.51,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
446,Virginia Beach,US,87.03,scattered clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
449,Nabire,ID,74.46,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
450,Mogadishu,SO,76.6,few clouds,2.0371,45.3438,Hotel Juba
452,Lasa,IT,73.31,few clouds,46.6166,10.7002,Pension Feldgärtenhof
457,Saint-Francois,FR,78.42,thunderstorm,46.4154,3.9054,Manoir Du Bonheur
458,Moses Lake,US,81.88,clear sky,47.1301,-119.2781,Ramada by Wyndham Moses Lake
460,Samarai,PG,80.24,broken clouds,-10.6167,150.6667,Nuli Sapi
463,Hondo,JP,77.79,overcast clouds,32.45,130.2,ホテル河丁
464,Epe,NG,75.07,overcast clouds,6.5841,3.9834,MAGVILLE HOTEL
465,Tawau,MY,78.93,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
467,Bima,ID,70.43,clear sky,-8.4667,118.7167,Lambitu Hotel
468,San Policarpo,PH,81.77,overcast clouds,12.1791,125.5072,JM Lodge
473,Luwuk,ID,74.52,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
474,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
476,Thunder Bay,CA,76.28,overcast clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
478,Kabalo,CD,82.09,broken clouds,-6.05,26.9167,Victoria Inn Hotel and Convention Centre
480,Vallenar,CL,70.23,broken clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
481,Ciro Marina,IT,73.85,clear sky,39.3732,17.126,Hotel Miramare
483,Halifax,CA,70.52,broken clouds,44.6453,-63.5724,Hotel Halifax
484,Biak,ID,73.81,overcast clouds,-0.9131,122.8766,Penginapan Kim
485,Morondava,MG,71.04,broken clouds,-20.2833,44.2833,La Case Bambou
488,Am Timan,TD,76.73,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
491,Reyes,BO,89.56,clear sky,-14.3167,-67.3833,Palais du chef Canton Salamt
494,Luganville,VU,77.59,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
495,Ouango,CF,72.68,overcast clouds,4.3133,22.5552,The Espiritu Hotel
497,Nantucket,US,80.71,clear sky,41.2835,-70.0995,Jared Coffin House
498,Inongo,CD,74.21,overcast clouds,-1.95,18.2667,Hotel Du Lac
500,Doctor Juan Manuel Frutos,PY,79.56,clear sky,-25.3667,-55.8,Balneario Las Burbujas
501,Shingu,JP,74.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
503,Kuching,MY,77.22,few clouds,1.55,110.3333,The Ranee Boutique Suites
505,Lengshuitan,CN,77.13,scattered clouds,26.4111,111.5956,Jialong Hotel
508,Tiarei,PF,80.62,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
510,Anamur,TR,86.02,clear sky,36.0751,32.8369,Luna Piena Beach Hotel
511,Sibu,MY,79.11,few clouds,2.3,111.8167,RH HOTEL (4 Star)
517,Spasskoye,RU,75.67,overcast clouds,44.6108,132.7969,Garmonist
520,Bangkal,PH,78.66,overcast clouds,6.0667,121.0667,JB's Resort
521,Raga,SS,72.97,scattered clouds,8.4596,25.678,JB's Resort
523,Abu Samrah,SY,79.18,scattered clouds,35.3029,37.1841,JB's Resort
527,Kismayo,SO,76.48,overcast clouds,-0.3582,42.5454,Agan-Hotel
529,Carmo Do Rio Verde,BR,84.16,broken clouds,-15.3536,-49.7075,Pousada Do Lago
532,Monteagudo,BO,83.98,clear sky,-19.8167,-63.9833,"Residencial ""OLIVIA"""
534,Pemangkat,ID,79.27,overcast clouds,1.1667,108.9667,Ramah Kost KITA
535,Sokoni,TZ,76.86,clear sky,-6.4333,39.55,Ujamaa Beach Resort
540,Kirakira,SB,78.42,overcast clouds,-10.4544,161.9205,SanBiz Lodge
542,Umuarama,BR,73.83,clear sky,-23.7664,-53.325,HOTEL CAIUÁ
543,Luba,GQ,76.89,moderate rain,3.4568,8.5547,HOTEL CAIUÁ
545,Nikolayevsk-Na-Amure,RU,70.72,broken clouds,53.1406,140.73,"Mini-hotel ""Quiet Harbor"""
547,Lewistown,US,84.25,broken clouds,40.5992,-77.5714,Quality Inn & Suites
549,Soc Trang,VN,78.76,overcast clouds,9.6033,105.98,Phu Quy Hotel
550,Hue,VN,87.91,broken clouds,16.4667,107.6,Saigon Morin Hotel
556,Champoton,MX,84.9,broken clouds,19.35,-90.7167,HOTEL Posada La Regia
560,Roma,US,80.46,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
562,Sao Joao Da Barra,BR,75.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
567,Hasaki,JP,73.8,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
568,Belmonte,BR,77.0,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
569,Veraval,IN,82.47,overcast clouds,20.9,70.3667,Lords Inn Somnath
570,Zhanaozen,KZ,81.91,broken clouds,43.3,52.8,K.korabay 28A
572,Wanxian,CN,77.23,light rain,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
575,Waingapu,ID,70.47,clear sky,-9.6567,120.2641,Pondok Wisata Elim
576,Balabac,PH,83.26,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
578,Caxito,AO,74.05,broken clouds,-8.5785,13.6643,Sing and Swing Lodge
581,Kapit,MY,74.53,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
583,Muroto,JP,77.63,overcast clouds,33.2833,134.15,Oota Ryokan
586,Mampong,GH,72.95,overcast clouds,7.0627,-1.4001,Adom Upscale Hotel
587,Kuandian,CN,70.29,overcast clouds,40.7286,124.7847,Hi Inn Dandong Kuandian Ji Xian Garden
588,Moga,IN,86.18,clear sky,30.8,75.1667,Hotel Jaiswal
589,Tura,IN,75.94,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
595,Manokwari,ID,77.77,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
596,Canalete,CO,87.8,broken clouds,8.6761,-76.2042,Gomez Hernandez
601,Xuanzhou,CN,73.69,few clouds,30.9525,118.7553,Nanfang Hotel
605,Peniche,PT,71.08,scattered clouds,39.3558,-9.3811,Hotel Star inn Peniche
606,Acapulco,MX,85.82,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
608,Union,US,85.21,broken clouds,40.6334,-74.2663,Homewood Suites by Hilton Newark-Cranford
